date;color;led
2019-03-23 18:14:58:717;255;0
2019-03-23 18:14:58:754;255;0
2019-03-23 18:14:58:804;255;0
2019-03-23 18:14:58:856;255;0
2019-03-23 18:14:58:906;255;0
2019-03-23 18:14:58:953;255;0
2019-03-23 18:14:59:4;255;0
2019-03-23 18:14:59:53;255;0
2019-03-23 18:14:59:110;255;0
2019-03-23 18:14:59:159;255;0
2019-03-23 18:14:59:207;255;0
2019-03-23 18:14:59:254;255;0
2019-03-23 18:14:59:304;255;0
2019-03-23 18:14:59:357;255;0
2019-03-23 18:14:59:405;255;0
2019-03-23 18:14:59:452;255;0
2019-03-23 18:14:59:503;255;0
2019-03-23 18:14:59:556;255;0
2019-03-23 18:14:59:606;255;0
2019-03-23 18:14:59:654;255;0
2019-03-23 18:14:59:706;255;0
2019-03-23 18:14:59:753;255;0
2019-03-23 18:14:59:808;255;0
2019-03-23 18:14:59:860;255;0
2019-03-23 18:14:59:908;255;0
2019-03-23 18:14:59:954;255;0
2019-03-23 18:15:00:12;255;0
2019-03-23 18:15:00:63;255;0
2019-03-23 18:15:00:103;255;0
2019-03-23 18:15:00:154;255;0
2019-03-23 18:15:00:203;255;0
2019-03-23 18:15:00:254;255;0
2019-03-23 18:15:00:303;255;0
2019-03-23 18:15:00:360;255;0
2019-03-23 18:15:00:404;255;0
2019-03-23 18:15:00:453;255;0
2019-03-23 18:15:00:506;255;0
2019-03-23 18:15:00:556;255;0
2019-03-23 18:15:00:611;255;1
2019-03-23 18:15:00:655;255;1
2019-03-23 18:15:00:703;255;1
2019-03-23 18:15:00:758;255;1
2019-03-23 18:15:00:804;255;1
2019-03-23 18:15:00:854;255;1
2019-03-23 18:15:00:902;255;1
2019-03-23 18:15:00:959;255;1
2019-03-23 18:15:01:8;255;1
2019-03-23 18:15:01:55;255;1
2019-03-23 18:15:01:104;255;1
2019-03-23 18:15:01:152;255;1
2019-03-23 18:15:01:205;255;1
2019-03-23 18:15:01:255;255;1
